"","name","no_calls","all_calls","missingness_rate","private_variant_count","heterozygous_variant_count","O_HOM","E_HOM","N_SITES","F","perct_het_alt_in_snvs","perct_hom_alt_in_snvs","hom_AA_count","het_RA_count"
"605","HG01773",0,22725822,0,11917,2234285,75407057,75047578.81,77572882,0.14235,0.593,0.407,44196,64502
"606","HG01775",0,21045471,0,11635,2146757,75430508,75047578.81,77572882,0.15164,0,1,76693,0
"607","HG01776",0,19757099,0,8132,2190971,75447643,75047578.81,77572882,0.15842,0.573,0.427,45865,61536
"608","HG01777",0,23994645,0,16079,2191774,75385212,75047578.81,77572882,0.1337,0,1,74612,0
"609","HG01779",0,21241034,0,15030,2224211,75416515,75047578.81,77572882,0.1461,0.599,0.401,42569,63644
"610","HG01781",0,19968858,0,15997,2171199,75406069,75047578.81,77572882,0.14196,0,1,76037,0
"611","HG01783",0,21212684,0,16015,2156056,75421156,75047578.81,77572882,0.14793,0,1,76537,0
"612","HG01784",0,20880876,0,18564,2243839,75398240,75047578.81,77572882,0.13886,0.596,0.404,44034,64941
"613","HG01785",0,19095978,0,11057,2139659,75437644,75047578.81,77572882,0.15446,0,1,72792,0
"614","HG01786",0,20763790,0,10553,2201071,75441138,75047578.81,77572882,0.15585,0.6,0.4,43427,65017
"615","HG01789",0,20647703,0,8896,2134770,75442547,75047578.81,77572882,0.1564,0,1,74796,0
"616","HG01790",0,20298147,0,10470,2176918,75462110,75047578.81,77572882,0.16415,0.594,0.406,42802,62499
"617","HG01791",0,20267445,0,7887,2128526,75448064,75047578.81,77572882,0.15859,0,1,77220,0
"618","HG01794",0,19976266,0,11433,2019482,75622015,75047578.81,77572882,0.22747,0.575,0.425,47303,64036
"619","HG01795",0,18991654,0,15772,2070809,75564794,75047578.81,77572882,0.20481,0.538,0.462,50084,58409
"620","HG01796",0,23395416,0,14250,2056623,75578783,75047578.81,77572882,0.21035,0.543,0.457,49455,58717
"621","HG01797",0,20731383,0,15634,2052175,75577834,75047578.81,77572882,0.20998,0.504,0.496,52049,52917
"622","HG01798",0,21355331,0,17368,2063705,75574021,75047578.81,77572882,0.20847,0.552,0.448,48919,60312
"623","HG01799",0,19406954,0,15057,2041660,75600250,75047578.81,77572882,0.21885,0.574,0.426,48228,64929
"624","HG01800",0,18937568,0,15179,1990704,75646767,75047578.81,77572882,0.23727,0.559,0.441,47714,60394
"625","HG01801",0,19897214,0,15073,2055629,75586231,75047578.81,77572882,0.2133,0.578,0.422,47411,65036
"626","HG01802",0,20369985,0,15828,2092203,75545271,75047578.81,77572882,0.19708,0.551,0.449,49141,60313
"627","HG01804",0,20130176,0,14151,2071735,75567433,75047578.81,77572882,0.20586,0.562,0.438,48612,62393
"628","HG01805",0,20454272,0,13977,2077391,75563427,75047578.81,77572882,0.20427,0.568,0.432,48322,63582
"629","HG01806",0,20950652,0,14607,2057575,75583233,75047578.81,77572882,0.21211,0.569,0.431,48262,63591
"630","HG01807",0,20221426,0,15565,2064356,75567925,75047578.81,77572882,0.20605,0.531,0.469,49126,55731
"631","HG01808",0,20987868,0,13127,2063900,75574610,75047578.81,77572882,0.2087,0.562,0.438,48004,61548
"632","HG01809",0,19492551,0,12963,2034155,75600784,75047578.81,77572882,0.21906,0.54,0.46,49622,58186
"633","HG01810",0,19154851,0,14186,1977854,75599014,75047578.81,77572882,0.21836,0,1,80020,0
"634","HG01811",0,20013972,0,14554,1983133,75593959,75047578.81,77572882,0.21636,0,1,80940,0
"635","HG01812",0,21948969,0,14070,2045041,75592546,75047578.81,77572882,0.2158,0.555,0.445,48616,60553
"636","HG01813",0,21023620,0,14561,2055000,75585500,75047578.81,77572882,0.21301,0.575,0.425,47080,63667
"637","HG01815",0,19845496,0,14714,2089345,75547157,75047578.81,77572882,0.19783,0.549,0.451,48960,59480
"638","HG01816",0,19970944,0,10891,1748178,75828833,75047578.81,77572882,0.30937,0,1,77328,0
"639","HG01817",0,21934968,0,15725,2060367,75583177,75047578.81,77572882,0.21209,0.599,0.401,44903,66962
"640","HG01840",0,20919603,0,15659,2031696,75545665,75047578.81,77572882,0.19724,0,1,78095,0
"641","HG01841",0,24195279,0,14625,2054079,75585905,75047578.81,77572882,0.21317,0.56,0.44,49595,63121
"642","HG01842",0,18879604,0,15048,2035425,75541602,75047578.81,77572882,0.19563,0,1,79222,0
"643","HG01843",0,23092339,0,14772,2065914,75571916,75047578.81,77572882,0.20763,0.548,0.452,50402,61000
"644","HG01844",0,22591520,0,15977,2020024,75556522,75047578.81,77572882,0.20154,0,1,79801,0
"645","HG01845",0,24287907,0,16691,2078471,75559737,75047578.81,77572882,0.20281,0.553,0.447,49626,61300
"646","HG01846",0,24565471,0,16323,2022249,75554885,75047578.81,77572882,0.20089,0,1,80776,0
"647","HG01847",0,22631833,0,15855,2070687,75566010,75047578.81,77572882,0.20529,0.549,0.451,49149,59838
"648","HG01848",0,24419458,0,15629,2080030,75563051,75047578.81,77572882,0.20412,0.592,0.408,45624,66100
"649","HG01849",0,22378807,0,16203,2021182,75555167,75047578.81,77572882,0.201,0,1,78039,0
"650","HG01850",0,24806976,0,15956,2086177,75551727,75047578.81,77572882,0.19964,0.56,0.44,48006,61131
"651","HG01851",0,23391030,0,16221,2074620,75563310,75047578.81,77572882,0.20423,0.551,0.449,49692,60994
"652","HG01852",0,25549166,0,14916,2021441,75555521,75047578.81,77572882,0.20114,0,1,80643,0
"653","HG01853",0,22645590,0,16400,2075121,75561433,75047578.81,77572882,0.20348,0.54,0.46,50944,59685
"654","HG01855",0,24284797,0,15706,2074793,75561415,75047578.81,77572882,0.20348,0.545,0.455,49236,58885
"655","HG01857",0,22971449,0,16002,2081916,75558942,75047578.81,77572882,0.2025,0.571,0.429,47940,63716
"656","HG01858",0,23763084,0,15721,2073470,75567375,75047578.81,77572882,0.20584,0.567,0.433,48503,63549
"657","HG01859",0,24532459,0,15161,2058982,75578379,75047578.81,77572882,0.21019,0.546,0.454,50301,60597
"658","HG01860",0,20302037,0,17178,2008886,75567926,75047578.81,77572882,0.20605,0,1,81032,0
"659","HG01861",0,21270938,0,16644,1996473,75580816,75047578.81,77572882,0.21116,0,1,79834,0
"660","HG01862",0,20627643,0,17064,2077016,75560530,75047578.81,77572882,0.20312,0.556,0.444,48497,60698
"661","HG01863",0,19875113,0,15690,2057385,75578914,75047578.81,77572882,0.2104,0.541,0.459,50021,59063
"662","HG01864",0,20811690,0,16385,2031652,75545160,75047578.81,77572882,0.19704,0,1,78858,0
"663","HG01865",0,20916193,0,17191,2024363,75552667,75047578.81,77572882,0.20001,0,1,78215,0
"664","HG01866",0,21033143,0,11987,1988533,75588603,75047578.81,77572882,0.21424,0,1,77338,0
"665","HG01867",0,20359653,0,14792,2003786,75572899,75047578.81,77572882,0.20802,0,1,79604,0
"666","HG01868",0,19703890,0,16138,2068626,75570052,75047578.81,77572882,0.2069,0.558,0.442,48727,61621
